Grupo,Familia,Articulo
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO PARA LARVA DE CAMARON EN EMULSION LIQUIDA-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,QUISTE DE ARTEMIA ENLATADO-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,TRATAMIENTO BIOLOGICO MICROBACTERIANO EN POLVO-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ARTEMIA Y ROTIFEROS A BASE DE ALGA-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ROTIFERO CON ALTO CONTENIDO-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,ENRIQUECEDOR PARA ROTIFERO ORI GREEN EN POLVO-2211
ALIMENTOS,ALIMENTOS PARA ANIMALES,ACEITE DE ASTAXANTINA DE KRILL ANTARTICO
ALIMENTOS,ALIMENTOS PARA ANIMALES,ALIMENTO P/LARVA DE CAMARON EN POLVO BASE ESPIRULINA
ALIMENTOS,B CARNE DE RES Y CERDO,BISTECK DE AGUAYON DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,BISTECK DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,BISTECK DE RES PEINECILLO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CARNAZA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CARNE DE RES PARA COCIDO CON PLATANO Y POCO HUESO
ALIMENTOS,B CARNE DE RES Y CERDO,CARNE DE RES PARA DESHEBRAR (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CHULETA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CHAMBARETE DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CHAMBARETE DE RES CON HUESO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,COSTILLITA DE RES CARGADA (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CUETE DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CUETE DE RES EN TROZO DE 3 KG. (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,FAJITAS DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,HIGADO DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,HIGADO DE RES EN TROZO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,LABIO DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,LENGUA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,MENUDO DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,MILANESA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,PATA DE RES LIMPIA (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,PEINECILLO CON HUESO DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,PULPA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,PULPA DE RES SIN HUESO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,PUNTAS DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,TERNERA DE RES ( TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,TERNERA DE RES CON POCO HUESO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CHANFAINA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CHANFAINA DE CERDO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,FALDA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,CARNE MOLIDA (USAR PROG PULPA DE RES)
ALIMENTOS,B CARNE DE RES Y CERDO,BISTECK DE CERDO ADOBADO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,BISTECK DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CABEZA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CARNE DE CERDO PARA FREIR EN TROZO (T.I.F)
ALIMENTOS,B CARNE DE RES Y CERDO,CHAMORRO DE CERDO CON POCO HUESO (T.I.F)
ALIMENTOS,B CARNE DE RES Y CERDO,CHICHARRON DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CHICHARRON PRENSADO DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CHULETA DE CERDO AHUMADA (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CHULETA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CHULETA DE CERDO ADOBADA (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,COSTILLA DE CERDO CARGADA EN TROZO (T.I.F)
ALIMENTOS,B CARNE DE RES Y CERDO,ESPINAZO DE CERDO (SIN COLA) (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,LOMO DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,LOMO DE CERDO ADOBADO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,LOMO DE CERDO AHUMADO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,MANITA DE CERDO (4 PARTES) (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,MILANESA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,PIERNA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,PIERNA DE CERDO ADOBADA (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,PIERNA DE CERDO SIN HUESO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,CARNAZA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,FILETE DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,TERNERA DE RES SIN HUESO EN TROZO DE 4 GRS (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,LENGUA DE CERDO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,MANTECA DE CERDO
ALIMENTOS,B CARNE DE RES Y CERDO,CARNITAS DE CERDO
ALIMENTOS,B CARNE DE RES Y CERDO,ALDILLA DE CERDO (T.I.F.)
ALIMENTOS,B CARNE DE RES Y CERDO,PLATANO DE RES
ALIMENTOS,B CARNE DE RES Y CERDO,ARRACHERA DE RES EN TROZO
ALIMENTOS,B CARNE DE RES Y CERDO,ALETA DE CERDO (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,ESPALDA DE RES (TIF)
ALIMENTOS,B CARNE DE RES Y CERDO,ESPALDA DE CERDO
ALIMENTOS,CARNES BLANCAS Y HUEVO,HIGADO DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,HUEVO
ALIMENTOS,CARNES BLANCAS Y HUEVO,MENUDENCIA DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,MOLLEJA DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,PIERNA Y MUSLO DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,PECHUGA DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,POLLO ENTERO
ALIMENTOS,CARNES BLANCAS Y HUEVO,PAVO
ALIMENTOS,CARNES BLANCAS Y HUEVO,POLLO ROSTIZADO
ALIMENTOS,CARNES BLANCAS Y HUEVO,POLLO EMPANIZADO
ALIMENTOS,CARNES BLANCAS Y HUEVO,MILANESA DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,FAJITAS DE POLLO
ALIMENTOS,CARNES BLANCAS Y HUEVO,MEDALLONES DE POLLO PRIMERA
ALIMENTOS,CARNES BLANCAS Y HUEVO,NUGGET DE POLLO
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,PASTA PARA FRITURAS
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,ACHIOTE
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,AJONJOLI
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,AJO
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,ALUBIA
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,ARROZ ENTERO
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,AVENA
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,CACAHUATE
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,CACAHUATE LIMPIO (USAR PROG. 001 008 008)
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,CANELA
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,AZAFRAN
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,CHIA
ALIMENTOS,CEREALES SEMILLAS Y ESPECIAS,LINAZA
